first_name,last_name,organization,role_title,sector,persona_type,linkedin_url,company_website,email_if_public,why_relevant,recent_activity,strategic_problem,persona_bridge,problem_frame,ice_breaker,priority_tier,priority_score
Daniel,Danker,Walmart,EVP AI Acceleration Product and Design,Enterprise Retail AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/daniel-danker,https://corporate.walmart.com,,Leading AI transformation across 2.1M employee enterprise that needs robust coordination infrastructure for AI-driven retail innovation at massive scale.,Leading AI acceleration across Walmart's 2.1M employees; driving AI product and design transformation for retail innovation at global scale,"Scaling AI across 2.1M employees and global supply chain while optimizing inventory, pricing, and logistics at unprecedented scale",Distributed quantum network management,Coordinate Walmart's global supply chain AI with quantum-enhanced optimization that routes 2.1M employees and inventory more efficiently than classical systems,Your 2.1M-person scale needs quantum coordination—InfraFabric orchestrates supply chain AI with quantum optimization routing inventory faster than classical limits,A,83
Dror,Berman,Innovation Endeavors,Founder & Managing Partner,Infrastructure VC,VC/Infrastructure Investor,https://www.linkedin.com/in/drorberman/,https://www.innovationendeavors.com,,Led investments in Atom Computing (quantum) and backs founders leveraging data and compute for exponential change.,Led Atom Computing (quantum) investment; backs founders using data and compute for exponential change; focus on infrastructure enabling transformation,Investing in quantum computing (Atom) and compute infrastructure that enables exponential innovation through data and computation,Hybrid quantum-classical coordination layer,Coordinate your Atom Computing investment with hybrid orchestration that integrates neutral atom quantum systems with classical compute infrastructure,Your Atom Computing investment needs hybrid integration—InfraFabric coordinates neutral atom quantum with classical infrastructure for seamless exponential compute,B,83
Rajeeb,Hazra,Quantinuum,CEO,Quantum Computing,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/rhazra/,https://www.quantinuum.com,,CEO of leading quantum company working on quantum networking applications needing coordination infrastructure for hybrid quantum-classical systems.,Appointed CEO Feb 2023; CNBC June 2025 on quantum computing demand growth; IEEE Quantum Week 2024 keynote; 25 years at Intel (led supercomputing); focus on rapid scaling phase,Scaling Quantinuum as largest standalone integrated quantum company during rapid commercialization phase while proving industrially-useful quantum advantage,Hybrid quantum-classical coordination layer,Orchestrate Quantinuum's trapped-ion systems with HPC/AI infrastructure to deliver industrially-useful hybrid quantum-classical applications at scale,Your HPC background knows hybrid systems—InfraFabric coordinates Quantinuum's quantum computers with classical supercomputers for industrial applications at your scale,A,82
Lisa,Einstein,CISA,Chief Artificial Intelligence Officer,Cybersecurity & Critical Infrastructure,Government/Regulatory Agency,https://www.linkedin.com/in/lisa-einstein/,https://www.cisa.gov,,Leads AI security for critical infrastructure where quantum-AI convergence poses emerging coordination challenges.,Leading CISA AI security strategy for critical infrastructure; coordinating AI-enhanced cybersecurity across 16 critical sectors; addressing quantum-AI convergence threats,Securing 16 critical infrastructure sectors against quantum-AI convergence threats while deploying AI-enhanced cyber defense at national scale,Quantum-safe AI infrastructure orchestration,Secure critical infrastructure with unified quantum-safe framework that protects both AI-enhanced defenses and critical systems from quantum attacks,Your 16-sector mandate demands unified security—InfraFabric coordinates quantum-safe AI defenses across critical infrastructure with sector-spanning orchestration,B,82
Andrew,Chin,AllianceBernstein,Chief Artificial Intelligence Officer,Asset Management AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/andrewchin17,https://www.alliancebernstein.com,,First CAIO at major asset manager transforming investment research and portfolio management where quantum computing will revolutionize optimization algorithms.,First Chief AI Officer at major asset manager; transforming investment research and portfolio management with AI-driven insights and optimization,Optimizing investment portfolios with AI while preparing for quantum computing's revolutionary impact on multi-asset portfolio optimization,Hybrid quantum-classical coordination layer,Coordinate AllianceBernstein's portfolio optimization with quantum-enhanced algorithms that solve multi-asset allocation problems classical computers cannot,Your CAIO role pioneers AI in asset management—InfraFabric coordinates quantum-enhanced portfolio optimization solving allocations beyond classical reach,A,82
Helen,Toner,Center for Security and Emerging Technology (CSET),Interim Executive Director,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/helen-toner-4162439a/,https://cset.georgetown.edu,,Leads CSET's research on AI policy and strategy with expertise in advising policymakers on emerging technology governance and national security implications.,Interim CSET Director; former OpenAI board member (removed Sam Altman Nov 2023); TIME 100 AI 2024; launched Substack 2025; SXSW 2025 on AI guardrails,Advising policymakers on AI safety governance while researching U.S.-China AI competition and quantum-AI convergence national security implications,Multi-stakeholder quantum-AI governance framework,Extend CSET's AI policy research to quantum-AI governance frameworks that address U.S.-China competition across both technologies simultaneously,Your AI policy research needs quantum extension—InfraFabric provides governance frameworks addressing U.S.-China competition in quantum-AI convergence,B,82
Jim,Ricotta,Aliro Quantum,CEO & Chairman,Quantum Networking,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/jimricotta,https://www.aliroquantum.com,,CEO of company building entanglement-based quantum networks requiring coordination infrastructure to enable quantum network applications.,AliroNet Quickstart live deployment 2025 (first turnkey entanglement network); supports 50+ quantum network devices Sept 2025; AFRL partnership Sept 2024; 5 prior CEO exits >$1B,Commercializing entanglement-based quantum networking (AliroNet Quickstart) from R&D phase to production enterprise deployments at scale,Distributed quantum network management,"Orchestrate entanglement-based quantum networks to coordinate QKD, quantum processor connectivity, and distributed sensing in unified multi-application fabric","Your AliroNet Quickstart pioneered turnkey entanglement networks—InfraFabric orchestrates those networks for multi-application workloads spanning security, computing, and sensing",A,81
Nathaniel,Bastian,DARPA,Program Manager - SABER (AI Security),Defense R&D,Defense/National Security,https://www.linkedin.com/in/nathanielbastian/,https://www.darpa.mil,,Focuses on securing battlefield AI systems against cyber/EW attacks; addresses quantum-AI convergence security challenges.,Managing SABER program to secure battlefield AI against cyber and electronic warfare attacks; addressing adversarial AI threats in contested environments; quantum-AI security convergence,Securing battlefield AI systems against quantum-enabled cyber attacks and adversarial AI in contested electromagnetic environments,Quantum-safe AI infrastructure orchestration,Secure battlefield AI with quantum-resistant encryption and quantum-enabled threat detection that protects against adversarial AI in contested environments,Your SABER program secures battlefield AI from quantum threats—InfraFabric provides the PQC-secured orchestration layer that hardens AI systems against quantum attacks,A,81
Michael,Kratsios,White House OSTP,Director,Science & Technology Policy,Government/Regulatory Agency,https://www.linkedin.com/in/michaelkratsios/,https://www.whitehouse.gov/ostp/,,Leads U.S. AI Action Plan and federal R&D strategy encompassing quantum-AI convergence technologies.,Leading U.S. AI Action Plan and federal R&D strategy; coordinating quantum and AI initiatives across federal agencies; directing OSTP science policy,Coordinating federal quantum-AI R&D strategy across agencies while implementing U.S. AI Action Plan and quantum initiative simultaneously,Multi-stakeholder quantum-AI governance framework,Coordinate OSTP's federal quantum and AI initiatives with unified R&D framework that accelerates convergence across agencies,Your OSTP mandate spans quantum and AI separately—InfraFabric coordinates both with unified R&D framework accelerating convergence across federal agencies,B,81
Abhi,Seth,Boeing,Chief Enterprise AI & Data Officer,Aerospace AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/abhi-seth-boeing,https://www.boeing.com,,Deployed GenAI platform to 170K+ employees in aerospace engineering where quantum-AI coordination infrastructure supports complex simulation and design.,Deployed GenAI platform across 170K+ Boeing employees; leading aerospace AI transformation; advancing AI-driven design and complex engineering simulations,Scaling AI across 170K engineers for complex aerospace simulation and design where quantum computing could revolutionize computational fluid dynamics,Hybrid quantum-classical coordination layer,Coordinate Boeing's engineering AI with quantum-enhanced CFD simulation that models airflow and structural analysis beyond classical computational limits,Your 170K-engineer AI platform needs quantum augmentation—InfraFabric coordinates hybrid quantum-classical CFD simulations beyond classical aerospace limits,A,81
Wael,Diab,ISO/IEC JTC 1/SC 42,Chair Artificial Intelligence Standards Committee,Standards Development,Standards Body,https://www.linkedin.com/in/wdiab/,https://www.iso.org,,Chairs international AI standardization committee developing interoperability standards critical for quantum-AI convergence and cross-border coordination frameworks.,ISO/IEC JTC 1/SC 42 AI Committee Chair; 900+ patents in ICT; developing international AI standards for responsible adoption and interoperability,Developing international AI interoperability standards while preparing for quantum-AI convergence requiring new standardization approaches,Multi-stakeholder quantum-AI governance framework,Extend ISO AI standards to quantum-AI interoperability ensuring systems spanning classical and quantum domains meet unified standards,Your AI standards enable global interoperability—InfraFabric extends that to quantum-AI ensuring hybrid systems meet unified international standards,B,81
Andrew,Shields,Toshiba Europe,VP & GM - Quantum Technology,Quantum Cryptography,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/andrew-shields-366b3173/,https://www.toshiba.eu/quantum/,,Leads quantum cryptography division deploying QKD networks requiring coordination infrastructure for quantum-secure communication systems.,Launched integrated PQC+QKD solution March 2025 (NIST standards); twin-field QKD breakthrough April 2025 (national-scale secure communication); BT/Equinix/Toshiba London data center deployment Sept 2024; Orange 400Gbit/s quantum-secure transmission,Deploying production QKD networks at national scale while integrating post-quantum cryptography standards into commercially available quantum-safe platforms,Post-quantum cryptography integration,Orchestrate Toshiba's twin-field QKD networks with PQC-secured classical channels to provide defense-in-depth security for distributed quantum-AI systems,Your twin-field QKD achieves national scale—InfraFabric orchestrates those networks with PQC-secured classical channels for defense-in-depth quantum-AI security,A,80
Ollie,Whitehouse,UK National Cyber Security Centre,Chief Technology Officer,National Security Innovation,Defense/National Security,,https://www.ncsc.gov.uk,,GCHQ's first CTO leading UK's quantum-resistant encryption roadmap by 2035; coordinates Five Eyes quantum security initiatives.,GCHQ's first CTO leading UK's quantum-resistant encryption roadmap targeting 2035; coordinating Five Eyes quantum security initiatives; driving national PQC transition,Delivering UK's quantum-resistant encryption roadmap by 2035 while coordinating with Five Eyes partners on quantum security standards,Post-quantum cryptography integration,Coordinate UK's 2035 PQC roadmap with Five Eyes partners using unified orchestration that ensures interoperable quantum-resistant systems across allied nations,Your 2035 PQC roadmap needs Five Eyes alignment—InfraFabric coordinates allied transitions with unified orchestration ensuring interoperable quantum-resistant systems,A,80
Vishal,Talwar,FedEx,EVP Chief Digital and Information Officer,Logistics AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/vishal-talwar-fedex,https://www.fedex.com,,Leading Network 2.0 digital transformation leveraging data and AI to optimize global logistics where quantum-AI infrastructure enables supply chain optimization at scale.,Leading FedEx Network 2.0 digital transformation; optimizing global logistics with data and AI; coordinating supply chain across massive geographic scale,Optimizing FedEx's global logistics network with AI while preparing for quantum computing's impact on route optimization and supply chain coordination,Distributed quantum network management,Coordinate FedEx's global network with quantum-enhanced route optimization that plans logistics across your entire network faster than classical systems,Your Network 2.0 transformation needs quantum optimization—InfraFabric coordinates global logistics with quantum route planning beyond classical algorithmic limits,A,80
Sunil,Dhaliwal,Amplify Partners,Founder & General Partner,Infrastructure VC,VC/Infrastructure Investor,https://www.linkedin.com/in/sunildhaliwal/,https://www.amplifypartners.com,,Backs technical founders building distributed systems and data infrastructure with unique insights into coordination challenges.,Amplify backs technical founders building distributed systems and data infrastructure; deep insights into coordination challenges at scale,Investing in distributed systems founders who understand coordination challenges across complex infrastructure architectures,Distributed quantum network management,Coordinate your distributed systems portfolio with quantum networking that solves coordination challenges classical infrastructure cannot,Your distributed systems thesis sees coordination pain—InfraFabric solves that with quantum networking enabling real-time coordination classical systems cannot achieve,B,80
Subodh,Kulkarni,Rigetti Computing,President & CEO,Quantum Computing,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/subodh-kulkarni-21001611/,https://www.rigetti.com,,Leads quantum computing firm developing superconducting quantum networking requiring coordination frameworks for distributed quantum systems.,Stanford Tech+Nat'l Security conference Oct 2024; $5.8M USAF superconducting quantum networking contract with QphoX; 36-qubit multi-chip system (99.5% gate fidelity); on track for 84-qubit Ankaa-3,Proving superconducting leads for large-scale quantum computing while building quantum networking capabilities via USAF contract and multi-chip architectures,Distributed quantum network management,Network distributed superconducting quantum processors using quantum networking that preserves your 99.5% gate fidelity across multi-chip and multi-rack systems,Your multi-chip architecture proves distributed quantum—InfraFabric extends that with quantum networking that coordinates Ankaa clusters while preserving 99.5% fidelity,A,79
Lucilla,Sioli,European Commission AI Office,Director,AI Regulation,Government/Regulatory Agency,https://www.linkedin.com/in/lucilla-sioli-b944392/,https://digital-strategy.ec.europa.eu/en/policies/ai-office,,Oversees EU AI Act implementation and international AI governance essential for cross-border quantum-AI systems.,Leading EU AI Act implementation and enforcement; coordinating international AI governance frameworks; developing cross-border AI regulatory cooperation,Implementing EU AI Act across member states while coordinating international AI governance for cross-border quantum-AI systems with non-EU partners,Multi-stakeholder quantum-AI governance framework,Coordinate EU AI Act compliance with quantum-AI governance framework that extends high-risk AI requirements to quantum-enhanced systems,Your AI Act needs quantum-AI extension—InfraFabric coordinates EU compliance framework spanning classical and quantum-enhanced high-risk AI systems,B,79
Nick,Andersen,CISA,Executive Assistant Director for Cybersecurity,Cybersecurity & Critical Infrastructure,Government/Regulatory Agency,https://www.linkedin.com/in/nmandersen/,https://www.cisa.gov,,Oversees federal cybersecurity including post-quantum cryptography and AI-enhanced threat defense coordination.,Leading federal cybersecurity including PQC transition planning; coordinating AI-enhanced cyber defense; overseeing critical infrastructure protection against quantum threats,Coordinating federal post-quantum cryptography transition while deploying AI-enhanced cyber defense across government and critical infrastructure,Post-quantum cryptography integration,Coordinate CISA's PQC transition with AI-enhanced threat detection in unified cybersecurity framework protecting federal and critical infrastructure systems,Your dual PQC+AI security mandate needs coordination—InfraFabric unifies both in integrated framework protecting federal systems from quantum threats,A,79
Peter,Barrett,Playground Global,Founder & General Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/peter-barrett-1b4b6439/,https://www.playground.vc,,Backs next-generation compute and AI infrastructure underpinning automation across material science and drug discovery.,Playground backs next-gen compute and AI infrastructure for material science and drug discovery; investing in automation and physical-digital convergence,Investing in compute infrastructure for material science and drug discovery where quantum computing will transform molecular simulation,Hybrid quantum-classical coordination layer,Coordinate your materials and drug discovery portfolio with quantum-enhanced molecular simulation that complements classical AI screening,Your materials science investments need quantum simulation—InfraFabric coordinates hybrid quantum-classical molecular modeling beyond classical AI screening limits,B,79
Vivek,Chilukuri,Center for a New American Security (CNAS),Director and Senior Fellow Technology & National Security Program,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/vivekchil/,https://www.cnas.org,,Leads CNAS program on accelerating U.S. leadership in AI quantum and biotechnology while addressing technology competition and critical infrastructure security.,"CNAS Tech+Nat'l Security Director; accelerating U.S. leadership in AI, quantum, and biotech; addressing tech competition and critical infrastructure","Accelerating U.S. leadership across AI, quantum, and biotech while coordinating critical infrastructure security against adversary threats",Multi-stakeholder quantum-AI governance framework,Coordinate CNAS research on U.S. AI and quantum leadership with unified framework addressing critical infrastructure protection across both domains,Your mandate spans AI and quantum leadership—InfraFabric coordinates both with unified framework protecting critical infrastructure from adversary threats,B,79
Joe,Altepeter,DARPA,Program Manager - Quantum Benchmarking Initiative,Defense R&D,Defense/National Security,,https://www.darpa.mil,,Leads DARPA's effort to validate industrially useful quantum computers by 2033; coordinates multi-vendor quantum benchmarking.,Leading DARPA's quantum benchmarking initiative targeting 2033 for industrially-useful quantum validation; coordinating multi-vendor benchmarking to validate quantum advantage; developing standardized metrics,Validating industrially-useful quantum computers by 2033 through rigorous multi-vendor benchmarking that proves quantum advantage in real-world applications,Quantum computing benchmarking & validation,"Orchestrate multi-vendor quantum benchmarking across diverse architectures (superconducting, trapped-ion, photonic) with standardized metrics and unified data collection",Your 2033 benchmarking targets need multi-vendor coordination—InfraFabric orchestrates diverse quantum systems with standardized metrics for fair comparison,A,78
Tõnis,Saar,NATO CCDCOE,Director,National Security Innovation,Defense/National Security,,https://ccdcoe.org,,Directs NATO's cyber defense center of excellence with 39 nations; coordinates quantum-secure communications for alliance operations.,Directing NATO CCDCOE with 39 member nations; coordinating quantum-secure communications for alliance cyber defense; leading NATO quantum cryptography initiatives,Coordinating quantum-secure communications across 39 NATO nations with diverse infrastructures and interoperability requirements for alliance operations,Multi-stakeholder quantum-AI governance framework,Orchestrate NATO's 39-nation quantum-secure communications with unified coordination framework that ensures interoperability across diverse national infrastructures,Your 39-nation coordination demands interoperability—InfraFabric orchestrates NATO's quantum-secure communications with unified framework spanning diverse national systems,B,78
Bilal,Zuberi,Lux Capital,General Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/bzuberi/,https://www.luxcapital.com,,Focuses on deep tech and infrastructure solving complex problems in climate and enterprise systems requiring coordination.,Deep tech investing in infrastructure for climate and enterprise systems; focused on solving complex coordination problems at scale,Investing in deep tech infrastructure that solves complex coordination problems across climate and enterprise systems requiring sophisticated orchestration,Distributed quantum network management,Coordinate your climate and enterprise infrastructure portfolio with quantum networking that enables real-time monitoring and optimization at global scale,Your infrastructure thesis demands coordination—InfraFabric orchestrates your climate and enterprise portfolio with quantum networking for global real-time optimization,B,78
Dewey,Murdick,Center for Security and Emerging Technology (CSET),Executive Director,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/murdick,https://cset.georgetown.edu,,Directs CSET's AI policy research and emerging technology analysis with background as former DHS Chief Analytics Officer specializing in technology foresight.,CSET Executive Director; former DHS Chief Analytics Officer; leading AI policy research and emerging technology foresight analysis,Directing technology foresight research while analyzing quantum-AI convergence implications for national security policy,Multi-stakeholder quantum-AI governance framework,Extend CSET's technology foresight to quantum-AI convergence scenarios informing national security policy across both domains,Your DHS background knows convergence threats—InfraFabric provides quantum-AI foresight frameworks for national security policy spanning both technologies,B,78
Kevin,Chalker,Qrypt,Founder & CEO,Quantum Cryptography,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/kevin-chalker-8b2b06a6/,https://www.qrypt.com,,Leads quantum-secure encryption company requiring coordination infrastructure to integrate quantum security with AI-driven systems.,Mattermost partnership announced Feb 2025 for quantum-secure DoD/intelligence communications; coordinates global business development and strategic partnerships; peer-reviewed quantum entropy encryption,Delivering quantum-safe cryptography to critical infrastructure and defense customers who need protection against both current and future quantum computing threats,Post-quantum cryptography integration,Integrate Qrypt's quantum-secure encryption into hybrid quantum-AI systems that require end-to-end protection from training through inference,Your quantum entropy encryption secures data at rest—InfraFabric secures the entire quantum-AI workflow from data ingestion through hybrid compute to inference,A,77
Adam,Beaumont,UK AI Security Institute (AISI),Interim Director,AI Security & Safety,Government/Regulatory Agency,https://www.linkedin.com/in/adam-beaumont-uk/,https://www.aisi.gov.uk,,Former GCHQ AI chief leading national AI security evaluations relevant to quantum-enhanced AI threat modeling.,Leading UK AI security evaluations as former GCHQ AI chief; coordinating with international AI safety partners; developing quantum-enhanced AI threat models,Evaluating frontier AI security threats including quantum-enhanced AI attack scenarios while coordinating with GCHQ and international partners,Quantum-safe AI infrastructure orchestration,Secure UK's AI systems against quantum-enhanced threats with unified security framework spanning PQC-secured AI infrastructure and quantum threat detection,Your GCHQ background sees quantum threats—InfraFabric secures AI systems with PQC encryption and quantum threat detection in unified security framework,B,77
Anjney,Midha,Andreessen Horowitz,General Partner,Infrastructure VC,VC/Infrastructure Investor,https://www.linkedin.com/in/anjney/,https://a16z.com,,Invests in AI infrastructure and open source technology with focus on hardware evolution for AI inference workloads.,a16z investments in AI infrastructure and open source; focused on hardware evolution for AI inference workloads at scale,Investing in AI inference hardware evolution while preparing for quantum computing's impact on accelerating inference workloads,Hybrid quantum-classical coordination layer,Coordinate your AI inference portfolio with quantum preprocessing that accelerates feature extraction feeding classical inference accelerators,Your inference focus needs quantum preprocessing—InfraFabric coordinates hybrid systems with quantum feature extraction feeding your classical accelerators,B,77
Martin,Ward,ETSI ISG QKD,Chair Quantum Key Distribution Industry Specification Group,Standards Development,Standards Body,https://www.linkedin.com/in/martin-ward-toshiba/,https://www.etsi.org,,Leads ETSI quantum key distribution standards development ensuring secure quantum communication networks enabling quantum-AI infrastructure coordination.,ETSI ISG QKD Chair developing quantum key distribution standards; ensuring secure quantum communication networks; coordinating with Toshiba QKD deployments,Developing QKD standards for secure quantum communications while enabling quantum network infrastructure for quantum-AI coordination,Distributed quantum network management,Extend ETSI QKD standards to quantum-AI orchestration ensuring secure quantum communications coordinate with AI workloads,Your QKD standards secure quantum communications—InfraFabric extends those standards to quantum-AI coordination securing hybrid workloads,B,77
Matt,Turek,DARPA,Deputy Director - Information Innovation Office,Defense R&D,Defense/National Security,https://www.linkedin.com/in/matthew-turek-0b2b665/,https://www.darpa.mil,,Guides DARPA's AI strategy where 70% of programs now use AI/ML; oversees trustworthy AI development for national security.,Overseeing 70% of DARPA programs now using AI/ML; leading trustworthy AI development for national security; coordinating AI strategy across Information Innovation Office,Ensuring 70% of DARPA programs using AI/ML meet trustworthy AI standards while coordinating quantum-AI convergence across defense R&D portfolio,Multi-stakeholder quantum-AI governance framework,Coordinate DARPA's quantum and AI programs with unified governance framework ensuring trustworthy AI principles extend to quantum-enhanced systems,Your 70% AI adoption demands trustworthy coordination—InfraFabric extends your AI governance framework to quantum-enhanced systems across DARPA's portfolio,B,76
Josephine,Teo,Singapore Ministry of Digital Development,Minister for Digital Development and Information,Government Digital Policy,Government/Regulatory Agency,https://www.linkedin.com/in/josephine-teo-104054184/,https://www.mci.gov.sg,,Oversees Singapore's AI governance framework and Smart Nation initiatives foundational to quantum-AI adoption.,Leading Singapore's AI governance framework and Smart Nation digital transformation; coordinating Southeast Asian digital policy; quantum-AI readiness for financial hub,Positioning Singapore as quantum-AI ready financial and technology hub while coordinating digital transformation and AI governance across Smart Nation,Multi-stakeholder quantum-AI governance framework,Coordinate Singapore's Smart Nation quantum-AI readiness with governance framework that positions the city-state as Asia's quantum-secure financial hub,Your Smart Nation vision needs quantum readiness—InfraFabric coordinates Singapore's quantum-AI governance positioning you as Asia's quantum-secure financial hub,B,76
Jennifer,Li,Andreessen Horowitz,General Partner,Infrastructure VC,VC/Infrastructure Investor,https://www.linkedin.com/in/jenniferhli/,https://a16z.com,,Focuses on enterprise infrastructure in data systems and AI requiring coordination across distributed architectures.,a16z enterprise infrastructure investments in data systems and AI; focused on coordination across distributed architectures,Investing in distributed data systems and AI infrastructure requiring sophisticated cross-architecture coordination at enterprise scale,Distributed quantum network management,Coordinate your distributed data portfolio with quantum networking that enables real-time synchronization across geo-distributed enterprise systems,Your distributed systems focus needs quantum coordination—InfraFabric provides quantum networking for real-time geo-distributed enterprise data synchronization,B,76
Robin,Blume-Kohout,Sandia National Laboratories,Co-Director - Quantum Performance Laboratory,Defense R&D,Defense/National Security,https://www.linkedin.com/in/robin-blume-kohout-8861286/,https://qpl.sandia.gov,,Pioneering quantum computer benchmarking and performance assessment critical for coordination infrastructure validation.,Co-directing Sandia's Quantum Performance Laboratory; pioneering quantum benchmarking methodologies; developing performance assessment frameworks for quantum systems,Developing rigorous quantum performance benchmarking that validates vendor claims and enables fair comparison across architectures for defense procurement,Quantum computing benchmarking & validation,Coordinate Sandia's quantum benchmarking across multi-vendor systems with standardized metrics that validate performance for defense procurement decisions,Your quantum benchmarking sets the gold standard—InfraFabric orchestrates multi-vendor testing with your standardized metrics for defense-grade validation,A,75
Jade,Leung,UK AI Security Institute (AISI),Chief Technology Officer & PM's AI Adviser,AI Security & Governance,Government/Regulatory Agency,https://www.linkedin.com/in/jade-l-2620bb9a/,https://www.aisi.gov.uk,,Leads frontier AI evaluations and advises PM on AI policy where quantum-AI capabilities require new governance models.,Leading frontier AI evaluations at UK AISI; advising Prime Minister on AI policy; developing quantum-AI governance models for advanced systems,Evaluating frontier AI systems for national security risks while developing governance models for quantum-AI capabilities that require new regulatory approaches,Multi-stakeholder quantum-AI governance framework,Extend UK's frontier AI evaluation framework to quantum-enhanced systems with governance models spanning classical and quantum-hybrid AI capabilities,Your frontier AI evaluations need quantum extension—InfraFabric provides governance framework for evaluating quantum-enhanced AI systems with unified protocols,B,75
Constanza,Vidal Bustamante,Center for a New American Security (CNAS),Fellow Technology & National Security Program,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/constanzavidal/,https://www.cnas.org,,Directs CNAS quantum technology policy portfolio investigating quantum's role in national security and policy solutions to advance U.S. quantum innovation.,CNAS quantum technology policy portfolio lead; investigating quantum's national security role and policy solutions for U.S. quantum innovation,Researching quantum technology national security implications while developing policy solutions for U.S. quantum-AI convergence leadership,Multi-stakeholder quantum-AI governance framework,Extend your quantum policy research to quantum-AI convergence frameworks that advance U.S. leadership across both technologies simultaneously,Your quantum policy focus needs AI integration—InfraFabric provides convergence frameworks advancing U.S. leadership in quantum-AI simultaneously,B,75
Denis,Mandich,Qrypt,CTO & Co-founder,Quantum Cryptography,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/denismandich/,https://www.qrypt.com,,Technical lead for post-quantum cryptography needing coordination frameworks to deploy quantum-safe security across AI infrastructures.,Spoke at IQT Quantum+AI NYC Oct 2024; Quantum World Congress 2024; founding member QED-C and Mid-Atlantic Quantum Alliance; 20 years US Intelligence Community; advises ANSI and ITU-T,Standardizing post-quantum cryptography deployment across financial services and telecommunications while bridging PQC algorithms and quantum security systems,Post-quantum cryptography integration,Coordinate PQC algorithm deployment with quantum key distribution in unified security architecture that protects AI infrastructure end-to-end,Your PQC+QKD expertise spans the quantum security spectrum—InfraFabric orchestrates both in unified architecture protecting hybrid quantum-AI systems,B,74
Clara,Chappaz,French Government,State Secretary for AI and Digital Affairs,AI Policy & Innovation,Government/Regulatory Agency,https://fr.linkedin.com/in/clarachappaz,https://www.gouvernement.fr,,France's first AI minister driving national AI strategy where quantum computing integration is emerging priority.,France's first AI minister driving national AI strategy; coordinating French quantum computing initiatives; positioning France as European AI leader,Driving French national AI strategy while integrating quantum computing priorities and positioning France as European AI-quantum convergence leader,Hybrid quantum-classical coordination layer,Coordinate France's AI and quantum initiatives with unified national strategy that positions French industry as European quantum-AI leader,Your AI ministry pioneers national coordination—InfraFabric extends that to quantum-AI convergence positioning France as European hybrid systems leader,B,74
Salil,Gunashekar,RAND Europe,Senior Research Leader and Deputy Director Science & Emerging Technology,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/salilgunashekar/,https://www.rand.org,,Leads RAND's Quantum Technology Observatory for Policy and Society (QTOPS) examining quantum skills talent supply chains and technology governance frameworks.,"Leads RAND's Quantum Technology Observatory for Policy and Society (QTOPS); researching quantum skills, talent, supply chains, and governance",Researching quantum technology policy and governance while examining quantum-AI convergence workforce and supply chain implications,Multi-stakeholder quantum-AI governance framework,Extend QTOPS research to quantum-AI convergence governance addressing workforce development and supply chain coordination across both domains,Your QTOPS research spans quantum ecosystem—InfraFabric extends that to quantum-AI convergence governance spanning workforce and supply chains,B,74
Janet,Egan,Center for a New American Security (CNAS),Senior Fellow and Deputy Director Technology & National Security Program,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/janet-egan-a8a066127/,https://www.cnas.org,,Researches national security implications of AI and emerging technologies including compute governance for advanced AI systems coordination.,CNAS Deputy Director researching AI national security implications; expertise in compute governance for advanced AI systems coordination,Researching compute governance for advanced AI while analyzing quantum computing's impact on national security and AI systems coordination,Hybrid quantum-classical coordination layer,Extend your compute governance research to quantum-AI systems addressing coordination challenges spanning classical and quantum compute resources,Your compute governance research needs quantum extension—InfraFabric addresses coordination challenges for AI systems spanning classical and quantum resources,B,74
Prineha,Narang,Aliro Quantum,CTO & Co-founder,Quantum Networking,Quantum Networking/Cryptography Vendor,,https://www.aliroquantum.com,,Technical leader in quantum networking commercialization needing AI-quantum coordination for scalable quantum network deployment.,Promoted to full professor UCLA July 2023 (Howard Reiss Chair); named U.S. Science Envoy 2023; Guggenheim Fellowship 2023; leading AliroNet quantum network commercialization with Cisco backing,Bridging quantum networking research (UCLA) and commercialization (Aliro) to build scalable distributed quantum systems that transition from lab to production,Distributed quantum network management,Coordinate quantum network research deployments with AI-driven optimization to accelerate transition from academic prototypes to commercial-scale quantum internets,Your dual research-commercial role needs unified tooling—InfraFabric coordinates quantum network R&D and production deployments with AI-driven orchestration,B,73
